area,incre,now,sum,cure,death
香港,12,150,5491,5233,108
上海,4,60,1290,1223,7
台湾,2,57,609,545,7
四川,1,49,796,744,3
陕西,3,44,490,443,3
福建,6,35,469,433,1
广东,2,34,1975,1933,8
内蒙古,0,19,308,288,1
天津,0,16,295,276,3
江苏,0,9,677,668,0
湖北,0,8,68148,63628,4512
浙江,0,8,1292,1283,1
山西,0,7,220,213,0
辽宁,0,6,289,281,2
河南,0,5,1288,1261,22
云南,0,5,217,210,2
河北,0,4,373,363,6
北京,1,3,948,936,9
广西,0,2,262,258,2
甘肃,0,2,181,177,2
湖南,0,1,1020,1015,4
安徽,0,1,992,985,6
山东,0,1,849,841,7
重庆,0,1,590,583,6
新疆,0,0,980,977,3
黑龙江,0,0,949,936,13
江西,0,0,935,934,1
海南,0,0,171,165,6
吉林,0,0,157,155,2
贵州,0,0,147,145,2
宁夏,0,0,75,75,0
澳门,0,0,46,46,0
青海,0,0,18,18,0
西藏,待公布,,1,1,0
