area,incre,sum,cure,death
美国,196806,12070712,7243488,258333
法国,28383,2086288,147569,47127
英国,19609,1453256,3242,53775
西班牙,7409,1574063,196958,42291
意大利,34280,1308528,498987,47870
比利时,5182,550264,34792,15196
俄罗斯,23610,2015608,1526656,34850
荷兰,5645,467257,6562,8771
印度,49443,9004365,8428409,132202
波兰,23975,796798,361886,12088
巴西,35645,5983089,5407498,168141
乌克兰,13357,583510,266479,10369
德国,29481,878209,562700,13788
瑞典,4609,201055,4971,6340
伊朗,13223,815117,583704,43417
墨西哥,3918,1019543,766361,100104
阿根廷,10332,1349434,1167514,36532
匈牙利,4512,161461,36345,3472
罗马尼亚,10108,393851,269590,9596
捷克,5515,479020,368179,6856
瑞士,5007,285655,180700,3879
葡萄牙,5891,243009,157924,3701
保加利亚,3938,114435,33327,2649
孟加拉国,2364,441159,356722,6305
奥地利,6995,228683,149541,2116
希腊,3209,85261,9989,1347
塞尔维亚,6109,104097,31536,1110
约旦,13402,169395,100280,2053
印度尼西亚,4798,483518,406612,15600
伊拉克,2374,529226,457490,11834
哥伦比亚,6875,1225490,1132393,34761
洪都拉斯,0,103488,45082,2839
土耳其,4215,430170,364573,11943
斯洛伐克,1665,91578,38695,579
加拿大,5852,315754,252294,11265
摩洛哥,5391,311554,257992,5090
哥斯达黎加,1422,128231,78851,1599
黎巴嫩,2084,111946,63404,868
爱尔兰,372,69473,23364,2010
埃塞俄比亚,533,104427,64983,1607
秘鲁,2020,943917,871534,35446
南非,2888,759658,702544,20671
巴基斯坦,2547,368665,327542,7248
波黑,1180,76757,41031,2153
亚美尼亚,1520,121979,88388,1870
菲律宾,1333,413430,374939,7998
立陶宛,1682,40492,10008,341
利比亚,541,76006,46793,1062
尼泊尔,2103,215020,185638,1276
阿塞拜疆,2597,83994,59465,1053
突尼斯,2049,83772,58229,2541
阿尔及利亚,1038,71652,46962,2224
多米尼加,1486,136183,111527,2301
肯尼亚,2416,74145,50658,1330
斯洛文尼亚,2084,61034,40153,964
巴拉圭,782,74495,53060,1636
北马其顿,1402,51213,30204,1423
白俄罗斯,1382,119390,99584,1074
格鲁吉亚,3697,93092,73877,853
克罗地亚,3164,93879,74865,1200
缅甸,1560,74882,55633,1676
日本,2388,125932,106954,1954
巴拿马,1112,151089,131315,2922
摩尔多瓦,3049,93961,75530,2091
玻利维亚,96,143756,118691,8889
阿尔巴尼亚,1497,30623,14565,657
丹麦,1297,67105,52445,773
马来西亚,1290,51680,38132,326
挪威,376,31441,19025,305
哈萨克斯坦,762,123888,111483,1945
黑山,1185,29577,18744,420
拉脱维亚,366,11722,1557,141
卢森堡,892,29243,19231,254
厄瓜多尔,1146,183246,160639,13073
巴勒斯坦,1110,67296,57469,598
智利,1454,536012,511874,14955
乌干达,585,17148,8426,158
以色列,654,327049,315930,2742
阿拉伯联合酋长国,1153,155254,146469,544
法属波利尼西亚,225,12816,4842,62
吉尔吉斯斯坦,422,68316,59362,1217
阿曼,231,121360,112406,1365
科威特,485,138822,130426,859
阿富汗,377,44228,35350,1650
沙特阿拉伯,319,354527,341956,5729
安哥拉,104,14134,7062,333
危地马拉,1336,117066,106305,4050
